Sample;plate;mat_type;Day;Rat_name;Well;ID_no;Target;Dye;Task;D_Rn;Conc_ngul;Below std;Note;Action;Cq_mean;Cq_sd;quantity_mean;quantity_sd
F0R20;A1;Feces;0;R20;D19;Sample 28;PBU PBR;SYBR;Sample;0,083;1;;;;13,43127528;0,123907012;277098,1821;19368,75828
F0R24;A1;Feces;0;R24;D7;Sample 24;PBU PBR;SYBR;Sample;0,083;1;;;;13,19938857;0,063394795;316333,1517;11434,56897
F0R28;A1;Feces;0;R28;C13;Sample 19;PBU PBR;SYBR;Sample;0,083;1;;;;14,07214202;0,02036841;191205,5121;2250,59988
F0R30;A1;Feces;0;R30;C7;Sample 17;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);11,22808786;0,864635368;1046757,476;501100,8994
F0R33;A1;Feces;0;R33;I4;Sample 57;PBU PBR;SYBR;Sample;0,083;1;;;;9,823751969;0,913895973;2368185,788;1192818,147
F0R35;A1;Feces;0;R35;F4;Sample 37;PBU PBR;SYBR;Sample;0,083;1;;;;10,14677566;0,068988203;1837934,477;73896,72853
F0R36;A1;Feces;0;R36;M4;Sample 85;PBU PBR;SYBR;Sample;0,083;1;;;;12,23880014;1,152176275;611835,9818;378876,9427
F0R38;A1;Feces;0;R38;O13;Sample 102;PBU PBR;SYBR;Sample;0,083;1;;;;13,81158756;0,118973365;222528,3682;15286,33376
F0R40;A1;Feces;0;R40;N7;Sample 93;PBU PBR;SYBR;Sample;0,083;1;;;;13,80188943;0,169988907;224127,5608;21336,3217
F0R42;A1;Feces;0;R42;E1;Sample 29;PBU PBR;SYBR;Sample;0,083;1;;;;12,6230257;0,100452753;441280,2461;25399,3332
F0R44;A1;Feces;0;R44;D13;Sample 26;PBU PBR;SYBR;Sample;0,083;1;;;;12,9243895;0,016071593;370513,8855;3437,00777
F0R45;A1;Feces;0;R45;A13;Sample 5;PBU PBR;SYBR;Sample;0,083;1;;;;13,66435527;0,072331382;241998,7721;10192,39933
F0R47;A1;Feces;0;R47;I10;Sample 59;PBU PBR;SYBR;Sample;0,083;1;;;;10,48599581;0,060728867;1511341,183;53416,74411
F12R09;A1;Feces;12;R09;K7;Sample 72;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);12,66939468;1,223477125;483636,9667;315349,2939
F12R19;A1;Feces;12;R19;O10;Sample 101;PBU PBR;SYBR;Sample;0,083;1;;;;13,39302711;0,112917407;283196,5509;18186,17897
F12R23;A1;Feces;12;R23;A19;Sample 7;PBU PBR;SYBR;Sample;0,083;1;;;;13,88868623;0,074354969;212652,8657;9178,806702
F12R33;A1;Feces;12;R33;N10;Sample 94;PBU PBR;SYBR;Sample;0,083;1;;;;13,28609853;0,047279045;300853,338;8225,810548
F12R42;A1;Feces;12;R42;D1;Sample 22;PBU PBR;SYBR;Sample;0,083;1;;;;13,28203953;0,313765506;304842,5574;56452,53801
F12R47;A1;Feces;12;R47;L19;Sample 83;PBU PBR;SYBR;Sample;0,083;1;;;;13,55152961;0,044840084;258166,4902;6695,8457
F16R08;A1;Feces;16;R08;L4;Sample 78;PBU PBR;SYBR;Sample;0,083;1;;;;13,59521487;0,031498079;251718,5901;4593,462618
F16R20;A1;Feces;16;R20;E10;Sample 32;PBU PBR;SYBR;Sample;0,083;1;;;;13,05168353;0,105125871;344718,37;21225,41969
F16R21;A1;Feces;16;R21;O7;Sample 100;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);12,49102031;1,23453732;537127,3031;352917,6787
F16R22;A1;Feces;16;R22;M1;Sample 84;PBU PBR;SYBR;Sample;0,083;1;;;;13,64124794;0,051139334;245171,2566;7193,083024
F16R33;A1;Feces;16;R33;J7;Sample 65;PBU PBR;SYBR;Sample;0,083;1;;;;13,05927918;0,135872489;343484,6774;26614,25291
F16R36;A1;Feces;16;R36;E13;Sample 33;PBU PBR;SYBR;Sample;0,083;1;;;;13,95793725;0,101885648;204440,9415;11999,99115
F16R48;A1;Feces;16;R48;H16;Sample 54;PBU PBR;SYBR;Sample;0,083;1;;;;13,72349956;0,167411869;234464,2654;21967,84743
F20R20;A1;Feces;20;R20;N4;Sample 92;PBU PBR;SYBR;Sample;0,083;1;;;;13,23493444;0,079832282;309998,8935;14184,91913
F20R24;A1;Feces;20;R24;B16;Sample 13;PBU PBR;SYBR;Sample;0,083;1;;;;13,77383371;0,023597414;227081,3214;3098,777764
F20R33;A1;Feces;20;R33;I7;Sample 58;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);12,83067747;1,161100247;435679,4288;271601,1695
F20R35;A1;Feces;20;R35;A16;Sample 6;PBU PBR;SYBR;Sample;0,083;1;;;;13,69902051;0,14149183;237601,1633;19481,97093
F20R36;A1;Feces;20;R36;P13;Sample 109;PBU PBR;SYBR;Sample;0,083;1;;;;13,82684155;0,365002675;223448,3581;45734,13479
F20R45;A1;Feces;20;R45;M16;Sample 89;PBU PBR;SYBR;Sample;0,083;1;;;;13,97084129;0,530021798;208874,2899;60515,50299
F20R47;A1;Feces;20;R47;P1;Sample 105;PBU PBR;SYBR;Sample;0,083;1;;;;13,4971179;0,138002532;266902,0297;21654,2375
F20R48;A1;Feces;20;R48;N13;Sample 95;PBU PBR;SYBR;Sample;0,083;1;;;;13,62069479;0,272273792;250114,7432;40614,75164
F21R10;A1;Feces;21;R10;G19;Sample 48;PBU PBR;SYBR;Sample;0,083;1;;;;14,31356005;0,031969815;166378,2944;3081,037003
F21R19;A1;Feces;21;R19;I1;Sample 56;PBU PBR;SYBR;Sample;0,083;1;;;;13,96647403;0,067052531;203304,2979;7776,256441
F21R23;A1;Feces;21;R23;M10;Sample 87;PBU PBR;SYBR;Sample;0,083;1;;;;13,22634908;0,052930367;311414,597;9535,173318
F21R34;A1;Feces;21;R34;H4;Sample 50;PBU PBR;SYBR;Sample;0,083;1;;;;13,91911398;0,260620767;210414,2499;31910,86242
F21R36;A1;Feces;21;R36;C19;Sample 21;PBU PBR;SYBR;Sample;0,083;1;;;;13,77893375;0,1279983;226809,4843;16584,39603
F21R42;A1;Feces;21;R42;K1;Sample 70;PBU PBR;SYBR;Sample;0,083;1;;;;13,84942602;0,047133633;217439,8516;5940,221088
F21R46;A1;Feces;21;R46;O4;Sample 99;PBU PBR;SYBR;Sample;0,083;1;;;;12,93824245;0,95192278;395569,0498;206770,244
F8R09;A1;Feces;8;R09;M7;Sample 86;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);13,18206868;1,257869938;362263,3726;241827,3699
F8R12;A1;Feces;8;R12;F7;Sample 37;PBU PBR;SYBR;Sample;0,083;1;;;;10,75053082;0,12543727;1299323,688;93280,70425
F8R16;A1;Feces;8;R16;F19;Sample 41;PBU PBR;SYBR;Sample;0,083;1;;;;13,45912246;0,463460118;279043,827;78710,14882
F8R17;A1;Feces;8;R17;K13;Sample 74;PBU PBR;SYBR;Sample;0,083;1;;;;12,13700886;0,044965636;583433,2412;15232,81939
F8R18;A1;Feces;8;R18;K10;Sample 73;PBU PBR;SYBR;Sample;0,083;1;;;;14,50770158;0,133251831;149036,7533;11256,7847
F8R22;A1;Feces;8;R22;H10;Sample 52;PBU PBR;SYBR;Sample;0,083;1;;;;13,94971868;0,153629567;205703,919;17761,18867
F8R29;A1;Feces;8;R29;A7;Sample 3;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);9,269995302;0,782433667;3201094,619;1396639,292
F8R34;A1;Feces;8;R34;L7;Sample 79;PBU PBR;SYBR;Sample;0,083;1;;;;13,86324672;0,121181301;216014,7623;15245,16571
F8R36;A1;Feces;8;R36;K4;Sample 71;PBU PBR;SYBR;Sample;0,083;1;;;;13,57841;1,095521762;279897,9544;165863,8399
F8R39;A1;Feces;8;R39;A1;Sample 1;PBU PBR;SYBR;Sample;0,083;1;;;;13,31392188;0,074001707;296174,2925;12760,42065
F8R40;A1;Feces;8;R40;B13;Sample 12;PBU PBR;SYBR;Sample;0,083;1;;;;14,26098249;0,060325551;171547,4088;5979,487587
F8R41;A1;Feces;8;R41;J16;Sample 68;PBU PBR;SYBR;Sample;0,083;1;;;;14,65425315;0,056108647;136746,0756;4433,530317
F8R43;A1;Feces;8;R43;K16;Sample 75;PBU PBR;SYBR;Sample;0,083;1;;;;14,37997661;0,124740776;160389,2705;11654,48545
F8R46;A1;Feces;8;R46;G4;Sample 43;PBU PBR;SYBR;Sample;0,083;1;;;;10,88592868;1,016703277;1304177,448;723342,5637
F8R48;A1;Feces;8;R48;N1;Sample 91;PBU PBR;SYBR;Sample;0,083;1;;;;13,15673467;0,248992104;326283,8245;46441,99008
Il21R10;A1;Ileum;21;R10;L1;Sample 77;PBU PBR;SYBR;Sample;0,083;1;;LOW;;14,06684476;0,13004248;192145,6987;14687,62855
Il21R20;A1;Ileum;21;R20;G1;Sample 42;PBU PBR;SYBR;Sample;0,083;1;;;;18,74199188;0,064553767;12962,753;477,0427594
Il21R22;A1;Ileum;21;R22;L10;Sample 80;PBU PBR;SYBR;Sample;0,083;1;;;;20,80460613;0,053513546;3947,406894;122,6447421
Il21R24;A1;Ileum;21;R24;C4;Sample 16;PBU PBR;SYBR;Sample;0,083;0,9;;LOW;;13,21115111;0,985324507;339724,0169;183197,5642
Il21R32;A1;Ileum;21;R32;D10;Sample 25;PBU PBR;SYBR;Sample;0,083;1;;;;14,52756779;0,072803975;147139,7168;6146,124448
Il21R44;A1;Ileum;21;R44;H13;Sample 53;PBU PBR;SYBR;Sample;0,083;1;;;;13,30685569;0,056939738;297308,2058;9750,035316
Il21R48;A1;Ileum;21;R48;O1;Sample 98;PBU PBR;SYBR;Sample;0,083;1;;LOW;;12,75630062;0,086293491;408531,1488;20153,78433
Il8R04;A1;Ileum;8;R04;I19;Sample 62;PBU PBR;SYBR;Sample;0,083;1;;;;28,91528841;0,223340804;37,00532384;4,768589012
Il8R14;A1;Ileum;8;R14;E4;Sample 30;PBU PBR;SYBR;Sample;0,083;1;;LOW;;13,32591642;0,957615265;316629,2925;166403,3746
Il8R15;A1;Ileum;8;R15;P7;Sample 107;PBU PBR;SYBR;Sample;0,083;1;;LOW;;20,92784371;0,184363137;3689,616603;400,0592379
Il8R29;A1;Ileum;8;R29;H1;Sample 49;PBU PBR;SYBR;Sample;0,083;1;;;;14,06251118;0,168987622;192872,1007;18882,17324
Il8R37;A1;Ileum;8;R37;C10;Sample 18;PBU PBR;SYBR;Sample;0,083;1;;LOW;;16,30616049;0,206923712;53007,5786;6457,477006
Mock-01;A1;Mock;;;B1;Sample 8;PBU PBR;SYBR;Sample;0,083;1;<STD curve;;;33,26169601;0,608785479;3,130404961;1,091581004
Mock-02;A1;Mock;;;D4;Sample 23;PBU PBR;SYBR;Sample;0,083;1;<STD curve;;;33,7702014;0,170754819;2,248843156;0,221681353
Mock-03;A1;Mock;;;L13;Sample 81;PBU PBR;SYBR;Sample;0,083;1;<STD curve;;;34,03455385;0,504770274;1,976446101;0,520911642
Mock-04;A1;Mock;;;C16;Sample 20;PBU PBR;SYBR;Sample;0,083;1;<STD curve;;;33,05001431;0,62741605;3,534968257;1,135106233
Mock-05;A1;Mock;;;O19;Sample 104;PBU PBR;SYBR;Sample;0,083;1;<STD curve;;;33,50541212;0,552109237;2,699915333;0,846143885
WTR;A1;WTRQ;;;O22;Vand;PBU PBR;SYBR;Negative Control;0,083;;<STD curve;;;33,2202694;0,384020581;NA;NA
WTRP-01;A1;WTRP;;;C1;Sample 15;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;33,26384966;0,287441124;3,028033505;0,478386566
WTRP-02;A1;WTRP;;;G7;Sample 44;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;34,50486004;2,052143309;2,17619329;2,024461285
WTRP-03;A1;WTRP;;;M13;Sample 88;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;33,16882181;0,838971292;3,423673177;1,621708579
WTRP-04;A1;WTRP;;;D16;Sample 27;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;33,02956737;0,31157241;3,4714497;0,60059835
WTRX-1;A1;WTRX;;;B4;Sample 9;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;33,246352;0,249602897;3,05208772;0,419532129
WTRX-4;A1;WTRX;;;P19;Sample 111;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;33,48544575;0,178695733;2,65060184;0,265396996
WTRX-5;A1;WTRX;;;N19;Sample 97;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;33,67231003;0,603923736;2,47370213;0,911825821
WTRX-6;A1;WTRX;;;J1;Sample 63;PBU PBR;SYBR;Sample;0,083;;<STD curve;;;32,78280646;1,432137007;5,062097776;4,504619427
C21R07;A2;Cecum;21;R07;J13;Sample 67;PBU PBR;SYBR;Sample;0,056;1;;;;14,43388681;0,157459588;159859,3928;14730,83578
C21R09;A2;Cecum;21;R09;N16;Sample 96;PBU PBR;SYBR;Sample;0,056;1;;;;13,84636573;0,19697277;225444,0396;26646,26371
C21R11;A2;Cecum;21;R11;B1;Sample 8;PBU PBR;SYBR;Sample;0,056;1;;;;13,00068371;0,262679596;370186,9807;58469,53089
C21R19;A2;Cecum;21;R19;G1;Sample 42;PBU PBR;SYBR;Sample;0,056;1;;;;15,758545;2,407679428;112995,6456;121118,7972
C21R31;A2;Cecum;21;R31;P10;Sample 108;PBU PBR;SYBR;Sample;0,056;1;;;;13,99639242;0,14057203;206115,9093;16526,21806
C21R35;A2;Cecum;21;R35;F19;Sample 41;PBU PBR;SYBR;Sample;0,056;1;;;;13,69511832;0,14446031;245678,0145;20613,63652
C21R43;A2;Cecum;21;R43;E13;Sample 33;PBU PBR;SYBR;Sample;0,056;1;;;;13,86284267;0,343220279;225377,7982;47298,95381
C21R45;A2;Cecum;21;R45;L4;Sample 78;PBU PBR;SYBR;Sample;0,056;1;;;;14,22229176;0,067270983;180404,7478;7002,607501
C8R01;A2;Cecum;8;R01;B13;Sample 12;PBU PBR;SYBR;Sample;0,056;1;;;;13,61534364;0,200582034;257943,3601;30839,74402
C8R15;A2;Cecum;8;R15;C10;Sample 18;PBU PBR;SYBR;Sample;0,056;1;;;;13,90399146;0,253292991;218604,3289;32053,15528
C8R25;A2;Cecum;8;R25;I13;Sample 60;PBU PBR;SYBR;Sample;0,056;1;;;;13,80061271;0,276840182;232445,9565;35877,41756
C8R27;A2;Cecum;8;R27;C19;Sample 21;PBU PBR;SYBR;Sample;0,056;1;;;;13,23100203;0,090377813;321452,0001;17011,33261
C8R29;A2;Cecum;8;R29;C16;Sample 20;PBU PBR;SYBR;Sample;0,056;1;;;;13,24901367;0,15378432;318660,3744;28844,8327
C8R37;A2;Cecum;8;R37;E10;Sample 32;PBU PBR;SYBR;Sample;0,056;1;;;;14,13049799;0,100197072;190427,3339;10962,95317
C8R38;A2;Cecum;8;R38;L10;Sample 80;PBU PBR;SYBR;Sample;0,056;1;;;;13,87898793;0,146395618;220741,7994;18481,53316
C8R39;A2;Cecum;8;R39;O19;Sample 104;PBU PBR;SYBR;Sample;0,056;1;;;;13,33791191;0,099077686;302104,7352;17339,6645
C8R41;A2;Cecum;8;R41;D13;Sample 26;PBU PBR;SYBR;Sample;0,056;1;;;;13,99330046;0,077801941;206173,2827;9276,787321
E coli 1;A2;Standard;;;A22;E coli 1;PBU PBR;SYBR;Standard;0,056;;;;;8,894456059;0,232216024;10000000;0
E coli 2;A2;Standard;;;C22;E coli 2;PBU PBR;SYBR;Standard;0,056;;;;;10,26494809;0,147178127;1000000;0
E coli 3;A2;Standard;;;E22;E coli 3;PBU PBR;SYBR;Standard;0,056;;;;;14,93502896;0,207154956;100000;0
E coli 4;A2;Standard;;;G22;E coli 4;PBU PBR;SYBR;Standard;0,056;;;;;17,75427307;0,245117435;10000;0
E coli 5;A2;Standard;;;I22;E coli 5;PBU PBR;SYBR;Standard;0,056;;;;;23,21776902;0,278508256;1000;0
E coli 6;A2;Standard;;;K22;E coli 6;PBU PBR;SYBR;Standard;0,056;;;;;28,11290325;0,327535632;100;0
E coli 7;A2;Standard;;;M22;E coli 7;PBU PBR;SYBR;Standard;0,056;;;;;31,14213545;0,637813963;10;0
F0R05;A2;Feces;0;R05;F1;Sample 36;PBU PBR;SYBR;Sample;0,056;1;;;;12,04789905;0,108516968;640448,1389;40280,69274
F0R13;A2;Feces;0;R13;P7;Sample 107;PBU PBR;SYBR;Sample;0,056;1;;;;13,46510942;0,094763185;280514,6644;15704,8617
F0R19;A2;Feces;0;R19;K4;Sample 71;PBU PBR;SYBR;Sample;0,056;1;;;;12,99202795;0,081883782;369385,4176;17848,10438
F0R21;A2;Feces;0;R21;M13;Sample 88;PBU PBR;SYBR;Sample;0,056;1;;;;11,28483693;0,037870666;997581,7761;22074,26672
F0R23;A2;Feces;0;R23;J19;Sample 69;PBU PBR;SYBR;Sample;0,056;1;;;;12,95864414;0,149370823;377296,1239;32685,32396
F0R25;A2;Feces;0;R25;J7;Sample 65;PBU PBR;SYBR;Sample;0,056;1;<STD curve;high CQ. Wrong dilution.;Include for now;33,68365649;0,780508288;2,298838692;0,891964617
F0R26;A2;Feces;0;R26;P13;Sample 109;PBU PBR;SYBR;Sample;0,056;1;;;;12,22955378;0,352500551;583394,0093;116607,9185
F0R29;A2;Feces;0;R29;D7;Sample 24;PBU PBR;SYBR;Sample;0,056;1;;;;10,12678408;0,21613819;1968159,482;252515,2427
F0R34;A2;Feces;0;R34;N4;Sample 92;PBU PBR;SYBR;Sample;0,056;1;;;;10,05765409;0,040534374;2038447,939;47814,832
F0R37;A2;Feces;0;R37;K7;Sample 72;PBU PBR;SYBR;Sample;0,056;1;;;;13,04684535;0,1520759;358446,4594;31914,45659
F0R39;A2;Feces;0;R39;F7;Sample 37;PBU PBR;SYBR;Sample;0,056;1;;;;10,67238438;0,155264509;1428639,369;125634,0238
F0R41;A2;Feces;0;R41;L19;Sample 83;PBU PBR;SYBR;Sample;0,056;1;;;;13,26056661;0,156791229;316565,851;29618,26686
F0R43;A2;Feces;0;R43;F4;Sample 37;PBU PBR;SYBR;Sample;0,056;1;;;;12,38276782;0,189562192;528399,9582;57123,47251
F0R48;A2;Feces;0;R48;I4;Sample 57;PBU PBR;SYBR;Sample;0,056;1;;;;11,92609573;0,029035113;686676,1442;11649,40573
F12R07;A2;Feces;12;R07;C7;Sample 17;PBU PBR;SYBR;Sample;0,056;1;;;;12,30051329;0,094485278;552664,6605;30321,42045
F12R08;A2;Feces;12;R08;H19;Sample 55;PBU PBR;SYBR;Sample;0,056;1;;;;12,6567647;0,22863457;451271,8607;57953,34762
F12R10;A2;Feces;12;R10;E16;Sample 34;PBU PBR;SYBR;Sample;0,056;1;;;;13,4703547;0,056076299;279472,1812;9148,259983
F12R11;A2;Feces;12;R11;G13;Sample 46;PBU PBR;SYBR;Sample;0,056;1;;;;13,84958899;0,171919677;224771,0384;22728,85734
F12R20;A2;Feces;12;R20;B19;Sample 14;PBU PBR;SYBR;Sample;0,056;1;;;;13,61710109;0,183684083;257452,6073;26723,63083
F12R21;A2;Feces;12;R21;A19;Sample 7;PBU PBR;SYBR;Sample;0,056;1;;;;13,60500823;0,250902075;260115,4125;36971,70197
F12R22;A2;Feces;12;R22;N19;Sample 97;PBU PBR;SYBR;Sample;0,056;1;;;;13,20088712;0,336405945;331142,0471;67072,3724
F12R31;A2;Feces;12;R31;C4;Sample 16;PBU PBR;SYBR;Sample;0,056;1;;;;10,85819856;0,091770333;1279915,602;67831,36395
F12R45;A2;Feces;12;R45;A4;Sample 2;PBU PBR;SYBR;Sample;0,056;1;;;;11,53537849;0,264364934;868723,0461;129730,06
F16R07;A2;Feces;16;R07;O16;Sample 103;PBU PBR;SYBR;Sample;0,056;1;;;;13,0830172;0,29090432;353414,6622;59718,75543
F16R12;A2;Feces;16;R12;E19;Sample 35;PBU PBR;SYBR;Sample;0,056;1;;;;13,2292558;0,120470245;322015,6569;23026,84558
F16R19;A2;Feces;16;R19;E1;Sample 29;PBU PBR;SYBR;Sample;0,056;1;;;;13,98071199;0,225940618;208739,8144;27123,9228
F16R31;A2;Feces;16;R31;P19;Sample 111;PBU PBR;SYBR;Sample;0,056;1;<STD curve;high CQ. Wrong dilution.;Include for now;32,98904973;0,648306332;3,391659075;1,249569569
F16R32;A2;Feces;16;R32;O13;Sample 102;PBU PBR;SYBR;Sample;0,056;1;;;;13,30555882;0,121469919;308018,4788;21488,70524
F16R34;A2;Feces;16;R34;F13;Sample 39;PBU PBR;SYBR;Sample;0,056;1;;;;13,36895192;0,164597985;297261,8322;27896,77602
F16R42;A2;Feces;16;R42;E4;Sample 30;PBU PBR;SYBR;Sample;0,056;1;;;;11,6573732;0,208887775;806962,1604;101107,7472
F16R45;A2;Feces;16;R45;B4;Sample 9;PBU PBR;SYBR;Sample;0,056;1;;;;12,25381169;0,24715816;571265,0217;82398,41122
F16R47;A2;Feces;16;R47;A10;Sample 4;PBU PBR;SYBR;Sample;0,056;1;;;;13,14217127;0,249422706;340535,8838;47767,77065
F20R09;A2;Feces;20;R09;G4;Sample 43;PBU PBR;SYBR;Sample;0,056;1;;;;13,01111646;0,179520759;366363,5166;38654,23512
F20R10;A2;Feces;20;R10;E7;Sample 31;PBU PBR;SYBR;Sample;0,056;1;;;;12,2600831;0,307879742;571534,8799;106975,0016
F20R11;A2;Feces;20;R11;J16;Sample 68;PBU PBR;SYBR;Sample;0,056;1;;;;13,77398486;0,185726875;234998,6268;24800,96998
F20R12;A2;Feces;20;R12;L16;Sample 82;PBU PBR;SYBR;Sample;0,056;1;;;;13,54088339;0,0315997;268161,982;4959,086523
F20R19;A2;Feces;20;R19;K1;Sample 70;PBU PBR;SYBR;Sample;0,056;1;;;;13,44044804;0,123511349;284764,7563;20082,66214
