"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","ALDEx2 t-test (adx)",0.63,0.17,0,0.2,0.03,-0.66,0.04,"*"
"2","t-test - ALR (tta)",0.3,0.17,0,0,0,-1,0.14,"*"
"3","MgSeq Feature (msf)",0.55,0.04,0,0,0,-1,0.01,"*"
"4","t-test (ttt)",0.37,0.19,0,0,0,-1,0,"*"
"5","ALDEx2 wilcox (adx)",0.65,0.2,0.2,0.2,-0.17,-0.8,0.08,"*"
"6","EdgeR exact - RLE (ere2)",0.71,0.22,0.4,0.5,-0.29,-0.65,0.1,"*"
"7","DESeq2 (ds2x)",0.7,0.26,0.44,0.6,-0.33,-0.63,0.14,"*"
"8","EdgeR qll - RLE (erq2)",0.7,0.26,0.44,0.4,-0.36,-0.65,0.09,"*"
"9","t-test - Rank (ttr)",0.61,0.24,0.4,0.3,-0.37,-0.56,0.01,"*"
"10","Log LIMMA (lli)",0.61,0.28,0.41,0.27,-0.38,-0.63,0.04,"*"
"11","baySeq (bay)",0.65,0.04,0.43,0.27,-0.39,-0.84,0.02,"*"
"12","DESeq2 man. geoMeans (ds2)",0.66,0.33,0.5,0.53,-0.41,-0.6,-0.25,"*"
"13","Log t-test (ltt)",0.57,0.26,0.46,0.27,-0.45,-0.81,-0.11,"*"
"14","LIMMA - CLR (lic)",0.62,0.3,0.5,0.4,-0.45,-0.67,-0.15,"*"
"15","LIMMA voom (vli)",0.59,0.28,0.48,0.33,-0.45,-0.84,0.11,"*"
"16","EdgeR exact - TMM (ere)",0.61,0.28,0.5,0.37,-0.46,-0.81,-0.13,"*"
"17","SAMseq (sam)",0.96,NA,0.68,0.47,-0.46,-0.59,0.28,"*"
"18","MgSeq ZIG (zig)",0.62,0.3,0.5,0.27,-0.47,-1,0.15,"*"
"19","EdgeR qll - TMM (erq)",0.59,0.28,0.5,0.33,-0.47,-0.86,0.02,"*"
"20","t-test - CLR (ttc)",0.59,0.26,0.52,0.4,-0.48,-0.71,-0.21,"*"
"21","Log t-test2 (ltt2)",0.38,0.28,0.58,0.03,-0.59,-1,0.05,"*"
"22","Poisson GLM (poi)",0.55,0.93,0.66,0.87,-0.61,-0.81,-0.38,"*"
"23","ZI-Poisson GLM (zpo)",0.47,0.37,0.65,0.4,-0.66,-0.87,-0.37,"*"
"24","ZI-NegBin GLM (znb)",0.45,0.2,0.71,0.13,-0.72,-1,-0.33," "
"25","Log LIMMA 2 (lli2)",0.4,0.28,0.74,0.13,-0.75,-1,-0.06," "
"26","Negbinom GLM (neb)",0.37,0.57,0.69,0.47,-0.75,-0.97,-0.02," "
"27","LIMMA - ALR (lia)",0.3,0.23,0.8,0,-0.8,-1,0.16," "
"28","Quasi-Poisson GLM (qpo)",0.42,0.26,0.8,0.03,-0.8,-1,0," "
"29","Permutation (per)",0.42,0.3,0.8,0.13,-0.81,-1,0.02," "
"30","Wilcox (wil)",0.42,0.26,0.84,0.03,-0.84,-1,0," "
