"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.84,0.07,0,0.27,0.09,-0.48,0.13,"*"
"2","Log t-test (ltt)",0.81,0.05,0,0.23,0.07,-0.54,0.13,"*"
"3","t-test - Rank (ttr)",0.8,0.04,0,0.13,0.04,-0.28,0.08,"*"
"4","Quasi-Poisson GLM (qpo)",0.74,0.13,0,0.07,0.02,-0.66,0.04,"*"
"5","t-test - ALR (tta)",0.85,0.02,0,0,0,-1.05,0.05,"*"
"6","t-test (ttt)",0.7,0.08,0,0,0,-0.33,0.04,"*"
"7","Wilcox (wil)",0.67,0.11,0.27,0.13,-0.24,-1,0.07,"*"
"8","Permutation (per)",0.69,0.13,0.31,0.27,-0.26,-1,0.08,"*"
"9","Log t-test2 (ltt2)",0.69,0.11,0.29,0.13,-0.27,-1,0.09,"*"
"10","Negbinom GLM (neb)",0.73,0.32,0.79,0.67,-0.64,-0.89,-0.13," "
"11","Poisson GLM (poi)",0.72,0.84,0.88,0.97,-0.67,-0.75,-0.54," "
